#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
27,Philadelphia 76ers,82,28,54,3966,102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49,16.7,50.1,53.9,99.07,47,8179.00,2016
28,Los Angeles Lakers,82,26,56,3941,105.3,112,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6,8143.00,2016
29,Phoenix Suns,82,24,58,3966,106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2,8320.00,2016
30,Brooklyn Nets,82,20,62,3951,103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,101.75,46,8371.00,2016
1,Houston Rockets,82,65,17,3951,114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1,8078.00,2017
2,Toronto Raptors,82,59,23,3966,113,105.3,7.7,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.02,53.8,8104.00,2017
3,Golden State Warriors,82,58,24,3946,112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4,8251.00,2017
4,Boston Celtics,82,55,27,3961,106.8,103.2,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9,7987.00,2017
5,Philadelphia 76ers,82,52,30,3956,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2,8299.00,2017
6,Cleveland Cavaliers,82,50,32,3946,112,111.1,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.72,50.2,8114.00,2017
7,Portland Trail Blazers,82,49,33,3951,108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51,7992.00,2017
8,Indiana Pacers,82,48,34,3951,108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9,7977.00,2017
8,New Orleans Pelicans,82,48,34,3991,108.5,107.4,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.48,52.5,8443.00,2017
8,Oklahoma City Thunder,82,48,34,3966,110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8,8036.00,2017
8,Utah Jazz,82,48,34,3951,107.4,103,4.4,58.6,1.53,17.1,25.6,75.6,50.9,15.2,52.7,56.4,96.58,53.2,7951.00,2017
12,Minnesota Timberwolves,82,47,35,3961,112.5,110.2,2.3,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.75,51.8,7985.00,2017
12,San Antonio Spurs,82,47,35,3946,107.1,104.1,3,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5,7867.00,2017
14,Denver Nuggets,82,46,36,3976,111.4,110,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.69,51.1,8095.00,2017
15,Miami Heat,82,44,38,3986,106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52,55.1,96.1,50.5,7985.00,2017
15,Milwaukee Bucks,82,44,38,3966,109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2,8013.00,2017
17,Washington Wizards,82,43,39,3971,108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.67,50.9,8087.00,2017
18,LA Clippers,82,42,40,3941,109.4,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.54,49.7,8167.00,2017
19,Detroit Pistons,82,39,43,3961,106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.75,48.9,7981.00,2017
20,Charlotte Hornets,82,36,46,3956,109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50,8143.00,2017
21,Los Angeles Lakers,82,35,47,3981,106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1,8361.00,2017
22,New York Knicks,82,29,53,3966,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1,8059.00,2017
23,Brooklyn Nets,82,28,54,3971,106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4,8238.00,2017
24,Chicago Bulls,82,27,55,3971,103.4,110.5,-7,60.7,1.68,17.3,25.6,76.7,50,14.1,49.7,52.9,98.65,45.3,8160.00,2017
24,Sacramento Kings,82,27,55,3951,103.1,110.4,-7.3,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.5,45.1,7860.00,2017
26,Orlando Magic,82,25,57,3946,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2,8096.00,2017
27,Atlanta Hawks,82,24,58,3941,104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8,8114.00,2017
27,Dallas Mavericks,82,24,58,3961,105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5,7959.00,2017
29,Memphis Grizzlies,82,22,60,3941,103.6,110.4,-6.8,58.6,1.44,16.6,27.6,72.1,49.3,15.6,50,53.9,95.65,46,7865.00,2017
30,Phoenix Suns,82,21,61,3941,102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2,8293.00,2017
1,Milwaukee Bucks,82,60,22,3956,113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3,8533.00,2018
2,Toronto Raptors,82,58,24,3976,112.6,106.8,5.8,60.3,1.81,18.2,26.5,72.6,50.2,13.8,54.3,57.9,100.51,53.3,8334.00,2018
3,Golden State Warriors,82,57,25,3961,115,108.6,6.5,66.8,2.06,20.4,25.7,72.7,50.5,13.9,56.5,59.6,101.74,54.6,8390.00,2018
4,Denver Nuggets,82,54,28,3946,112.1,108.1,4,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4,8096.00,2018
5,Houston Rockets,82,53,29,3966,114.9,110.1,4.8,54.1,1.59,15.9,26.9,70,48.1,13.5,54.2,58.1,98.39,49.8,8130.00,2018
5,Portland Trail Blazers,82,53,29,3971,113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1,8269.00,2018
7,Philadelphia 76ers,82,51,31,3961,111.6,109,2.6,64.8,1.8,18.7,27.8,74.1,51.7,14.4,53.2,57.4,102.59,52.9,8467.00,2018
8,Utah Jazz,82,50,32,3951,110.3,105.3,5,64.4,1.72,18.5,27.5,75.9,52.2,14.9,53.8,57.2,100.84,53.9,8308.00,2018
9,Boston Celtics,82,49,33,3956,111.3,107,4.3,62.4,2.05,18.8,25.7,72.8,49.5,12.7,53.4,56.7,100.43,53,8282.00,2018
9,Oklahoma City Thunder,82,49,33,3971,109.8,106.5,3.4,54.8,1.67,16.3,29.8,73.8,50.9,13.4,51.4,54.5,103.38,50.6,8549.00,2018
11,Indiana Pacers,82,48,34,3941,109.4,106,3.4,62.8,1.9,18.9,26.9,72.2,49.9,13.9,53,56.1,98.64,52.7,8097.00,2018
11,LA Clippers,82,48,34,3966,111.4,110.4,1,58.2,1.65,17.1,26.3,72.2,50,14.1,52.9,57.5,102.66,50.5,8475.00,2018
11,San Antonio Spurs,82,48,34,3961,112.2,110.6,1.6,58,2.03,18.1,24.6,74.4,50.1,12.2,53.4,57.2,98.88,51.6,8162.00,2018
14,Brooklyn Nets,82,42,40,3996,108.9,109,-0.1,59.2,1.58,16.9,28.2,72,50.1,14.6,52,55.6,101.52,49.2,8452.00,2018
14,Orlando Magic,82,42,40,3956,108.2,107.6,0.6,63.2,1.94,18.6,25.9,75.4,50.4,13.3,51.8,55,98.65,50.8,8133.00,2018
16,Detroit Pistons,82,41,41,3971,108.4,108.7,-0.3,57.9,1.63,16.5,29.1,74.5,50.9,14,50.9,54.4,97.88,48.2,8101.00,2018
17,Charlotte Hornets,82,39,43,3966,110.7,112,-1.3,57.8,1.9,17,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6,8202.00,2018
17,Miami Heat,82,39,43,3946,106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.73,50.1,8122.00,2018
17,Sacramento Kings,82,39,43,3946,109.6,110.8,-1.2,58.8,1.9,17.7,26.8,71.3,48.7,12.8,52.4,55.4,103.88,49.5,8545.00,2018
20,Los Angeles Lakers,82,37,45,3956,107.4,108.9,-1.6,60,1.63,17.8,27,72.5,50.2,15,52.7,55.4,103.6,49.5,8534.00,2018
21,Minnesota Timberwolves,82,36,46,3966,110.6,112.2,-1.6,59.1,1.88,17.4,29.2,70.9,49.7,12.9,51.1,55.2,100.88,49.8,8341.00,2018
22,Dallas Mavericks,82,33,49,3956,108.7,110.1,-1.5,60.3,1.64,17,27.3,73.4,50.3,14.2,51.9,55.5,99.6,49.2,8216.00,2018
22,Memphis Grizzlies,82,33,49,3976,105.6,108,-2.4,63.1,1.71,17.9,24.7,72.4,48.4,14.3,50.8,54.8,97.15,49,8038.00,2018
22,New Orleans Pelicans,82,33,49,3951,110.7,112,-1.3,61.9,1.82,18.6,28.5,72.9,50.9,14.2,52.9,56.3,103.89,49.8,8553.00,2018
25,Washington Wizards,82,32,50,3986,110.2,112.9,-2.7,62.3,1.87,18.4,25.2,70.6,47.7,13.6,53.1,56.7,102.23,48.7,8486.00,2018
26,Atlanta Hawks,82,29,53,3971,107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4,8642.00,2018
27,Chicago Bulls,82,22,60,3981,104.5,112.8,-8.3,55,1.55,16.3,24.2,72.7,48.3,14.1,50.5,54.1,99.3,45.3,8232.00,2018
28,Cleveland Cavaliers,82,19,63,3951,106.8,116.8,-10,53.2,1.54,15.6,28.2,73.2,49.6,13.8,50.3,54,97.37,43.6,8021.00,2018
28,Phoenix Suns,82,19,63,3976,105.3,114.2,-8.9,59.5,1.53,17.3,24.7,68.3,46.4,15.3,51.4,55.2,101.15,45,8371.00,2018
30,New York Knicks,82,17,65,3956,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2,8244.00,2018
1,Milwaukee Bucks,73,56,17,3519,111.9,102.5,9.4,59.8,1.71,18,24.1,77.5,52.4,14.2,55.2,58.3,105.51,56.2,7739.00,2019
2,Toronto Raptors,72,53,19,3476,110.8,104.7,6.1,62.7,1.7,18.1,25.6,72.1,49.6,14.6,53.6,57.4,101.19,53,7328.00,2019
3,Los Angeles Lakers,71,52,19,3418,111.7,106.1,5.6,60,1.67,18,28.3,73.7,51.2,14.9,54.2,57.3,101.2,53.9,7211.00,2019
4,LA Clippers,72,49,23,3476,113.3,106.9,6.3,57.1,1.63,16.9,27.8,73.7,51.5,14.2,53.5,57.7,102.16,53.2,7396.00,2019
5,Boston Celtics,72,48,24,3486,112.8,106.5,6.3,55.7,1.66,16.7,28.3,73.1,50.9,13.7,53.1,57,99.92,53.1,7255.00,2019
6,Denver Nuggets,73,46,27,3549,112.6,110.4,2.2,63.6,1.94,19.1,29.4,72.5,50.9,13.9,53.5,56.7,97.64,51.7,7217.00,2019
7,Indiana Pacers,73,45,28,3524,109.5,107.5,1.9,61.4,1.95,18.9,24.3,71.8,48.7,13.2,53.4,56.5,99.41,52,7299.00,2019
8,Houston Rockets,72,44,28,3476,112.5,109.8,2.7,53,1.47,15.5,24.9,71.3,48,14,53.7,57.8,104.04,49.4,7539.00,2019
8,Miami Heat,73,44,29,3549,111.9,109.3,2.7,65.7,1.74,18.8,25.7,75.3,51.2,14.9,54.7,58.7,98.7,52.5,7306.00,2019
8,Oklahoma City Thunder,72,44,28,3486,110.1,108.1,2.1,54.3,1.58,16.3,24.1,72.8,49.2,13.7,53,57.3,99.42,51.9,7218.00,2019
8,Utah Jazz,72,44,28,3471,111.8,109.3,2.5,56,1.48,16.8,26.1,74.6,51.2,15.2,54.9,58.5,99.15,51.3,7169.00,2019
12,Dallas Mavericks,75,43,32,3635,115.9,111.2,4.8,59.2,1.94,17.7,27.5,74,50.9,12.6,54.5,58.1,99.89,52.1,7569.00,2019
12,Philadelphia 76ers,73,43,30,3519,110.7,108.4,2.3,62.8,1.82,18.5,28.1,75.3,51.6,14.2,53.4,56.6,99.59,52.3,7304.00,2019
14,Brooklyn Nets,72,35,37,3496,108.7,109.2,-0.5,60.6,1.6,17.3,28,73.6,51.1,14.8,52,55.4,101.7,50,7404.00,2019
14,Portland Trail Blazers,74,35,39,3567,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57,101.17,48.6,7519.00,2019
16,Memphis Grizzlies,73,34,39,3514,108.7,109.7,-1,63.3,1.77,18.7,27.1,73.3,50.6,14.7,52.8,56.1,103.31,50.7,7562.00,2019
16,Phoenix Suns,73,34,39,3519,111.3,110.8,0.5,66.1,1.84,19.2,26.1,73.4,49.8,14.5,53.2,57.6,101.74,51.2,7449.00,2019
18,Orlando Magic,73,33,40,3514,107.9,109.2,-1.3,60.8,1.86,17.5,26.7,74.9,50,12.9,50.6,54.4,98.99,49.6,7255.00,2019
19,San Antonio Spurs,71,32,39,3443,111.7,112.6,-0.9,58.5,1.96,17.9,23.3,75.1,49.5,12.3,53.1,57.2,101.14,50.2,7249.00,2019
20,Sacramento Kings,72,31,41,3491,109.5,111.4,-1.9,58.2,1.64,17.4,25.8,73.6,49.2,14.4,53.4,56.6,99.6,47.9,7239.00,2019
21,New Orleans Pelicans,72,30,42,3486,110.5,111.8,-1.3,63,1.64,18.4,28.7,72.9,50.8,15.6,53.9,56.8,103.89,49.5,7548.00,2019
22,Washington Wizards,72,25,47,3471,110.2,114.7,-4.5,60.2,1.77,17.6,26.2,71.2,47.8,13.6,52.3,56.2,103.38,47.3,7475.00,2019
23,Charlotte Hornets,65,23,42,3150,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5,6317.00,2019
24,Chicago Bulls,65,22,43,3135,105.8,108.9,-3.1,58.7,1.5,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6,6563.00,2019
25,New York Knicks,66,21,45,3193,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1,6594.00,2019
26,Atlanta Hawks,67,20,47,3256,107,114.4,-7.4,58.9,1.48,16.9,26.7,70.8,48.4,15.5,51.5,55.4,103.28,45.4,6999.00,2019
26,Detroit Pistons,66,20,46,3193,108.8,112.3,-3.5,61.2,1.58,17.7,27.7,71.7,49.3,15.5,52.9,56.1,97.86,47.3,6507.00,2019
28,Cleveland Cavaliers,65,19,46,3145,106.9,114.8,-7.9,57.3,1.4,16.8,29.6,73.8,51.2,16.5,52.2,55.3,99.17,45.3,6497.00,2019
28,Minnesota Timberwolves,64,19,45,3112,107.6,111.6,-4,59,1.55,16.7,26.4,73.1,48.8,14.6,51.4,55.1,103.94,47.2,6736.00,2019
30,Golden State Warriors,65,15,50,3145,104.4,113,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54,101.04,46.2,6623.00,2019
1,Utah Jazz,72,52,20,3471,116.5,107.5,9,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,7193.00,2020
2,Phoenix Suns,72,51,21,3496,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50,12.6,56.4,59.7,98,53.4,7137.00,2020
3,Philadelphia 76ers,72,49,23,3486,112.5,107,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,7272.00,2020
4,Brooklyn Nets,72,48,24,3481,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61,100.27,53.2,7280.00,2020
5,Denver Nuggets,72,47,25,3496,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,7123.00,2020
5,LA Clippers,72,47,25,3456,116.7,110.6,6.1,58.4,1.85,18.1,27,75.4,51.8,13.5,56.4,59.9,97.63,53,7036.00,2020
7,Milwaukee Bucks,72,46,26,3466,116.5,110.7,5.8,56.9,1.84,18,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,7423.00,2020
8,Dallas Mavericks,72,42,30,3461,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55,58.2,97.94,51,7062.00,2020
8,Los Angeles Lakers,72,42,30,3491,109.8,106.8,2.9,60.7,1.62,18,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,7184.00,2020
8,Portland Trail Blazers,72,42,30,3461,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,57.7,98.97,49.3,7137.00,2020
11,Atlanta Hawks,72,41,31,3481,114.3,112.1,2.2,59.1,1.82,17.6,28.4,74.2,51.6,13.3,53.9,58.1,98.68,51.1,7160.00,2020
11,New York Knicks,72,41,31,3486,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,6994.00,2020
13,Miami Heat,72,40,32,3476,110.6,110.7,-0.1,67.1,1.87,19.5,24,73.3,49.1,14.4,54.6,58.1,97.09,50.9,7036.00,2020
14,Golden State Warriors,72,39,33,3461,110.5,109.4,1.1,67,1.84,19.6,22.2,72.7,48,14.6,55.1,58.3,102.81,51,7412.00,2020
15,Memphis Grizzlies,72,38,34,3481,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56,100.77,51.1,7302.00,2020
16,Boston Celtics,72,36,36,3476,113.1,111.8,1.2,56.6,1.67,17.1,28.9,73.7,51,14.1,54.3,57.4,98.94,50.1,7172.00,2020
17,Indiana Pacers,72,34,38,3491,111.9,111.9,0.1,63.3,2.02,19.2,24.7,70.1,47.6,13.1,54.2,57.5,102.05,50.2,7419.00,2020
17,Washington Wizards,72,34,38,3481,110.7,112.3,-1.6,59,1.77,17.8,25,73.6,49.4,13.7,53.1,56.9,104.67,49.6,7585.00,2020
19,Charlotte Hornets,72,33,39,3471,110.1,112,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99,48.9,7159.00,2020
19,San Antonio Spurs,72,33,39,3496,110.5,112,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99.45,49.3,7236.00,2020
21,Chicago Bulls,72,31,41,3476,110.4,111.5,-1.1,63.5,1.77,19.2,26.7,76.7,51.9,15.1,54.7,57.5,99.58,49.9,7220.00,2020
21,New Orleans Pelicans,72,31,41,3486,113,113.3,-0.3,61.2,1.78,18.3,30.2,75.5,52.7,14.4,53.7,57,100.54,50.8,7303.00,2020
21,Sacramento Kings,72,31,41,3461,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,57.8,100.71,48.1,7266.00,2020
24,Toronto Raptors,72,27,45,3461,111.6,112,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,48.6,7177.00,2020
25,Minnesota Timberwolves,72,23,49,3481,109.3,114.5,-5.3,63,1.8,18,27.1,71.7,48.4,13.9,52,55.5,101.96,46.9,7389.00,2020
26,Cleveland Cavaliers,72,22,50,3486,105.2,113.5,-8.3,61.8,1.54,17.5,28,72.9,49.9,15.7,50.8,54.3,97.96,46,7107.00,2020
26,Oklahoma City Thunder,72,22,50,3471,102.8,113.4,-10.6,56.8,1.37,16.1,25.4,74.2,49.4,15.8,50.9,53.9,101.61,44.2,7353.00,2020
28,Orlando Magic,72,21,51,3466,104.6,113.9,-9.3,57,1.7,16.3,25.2,74.4,48.8,12.9,49,52.7,99.17,45,7158.00,2020
29,Detroit Pistons,72,20,52,3486,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,72.5,49.3,15.1,51.9,55.6,98.19,47.3,7132.00,2020
30,Houston Rockets,72,17,55,3461,107,114.4,-7.4,60.1,1.6,17.2,24,72.3,47.4,14.5,52.1,55.3,101.69,45.1,7320.00,2020
